checkpoint_name,precision,recall,f1
fin/checkpoint_1_50.pt,0.1419581693802371,0.2206333498268184,0.1727602813995167
fin/checkpoint_1_100.pt,0.14899947377928466,0.2330529440870856,0.18178011397291782
fin/checkpoint_1_150.pt,0.16668944338414754,0.2599703117268679,0.2031328525320111
fin/checkpoint_1_200.pt,0.18885119322483074,0.29210370077181874,0.22939420359253554
fin/checkpoint_1_250.pt,0.2292244274185685,0.35246388284187613,0.27778908499632776
fin/checkpoint_1_300.pt,0.2804708188440648,0.4377102711260637,0.34187744532313125
fin/checkpoint_1_350.pt,0.3041916179419925,0.480656970416543,0.3725860597185963
fin/checkpoint_1_400.pt,0.3153804876057366,0.5065782965674152,0.38874190107386014
fin/checkpoint_1_450.pt,0.3264130453552914,0.5387696568094155,0.4065301906387568
fin/checkpoint_1_500.pt,0.3346466280239702,0.5655097399386928,0.4204734517704273
fin/checkpoint_1_550.pt,0.3420596089247928,0.5899970346940793,0.4330512664351935
fin/checkpoint_1_600.pt,0.3453663450032454,0.5997925106214801,0.43833509239405327
fin/checkpoint_1_650.pt,0.34906059821821406,0.6066205533596838,0.44313384835012243
fin/checkpoint_1_700.pt,0.3529250826899354,0.6143167671178738,0.4483011066487023
fin/checkpoint1.pt,0.35383867112698997,0.6176761189605771,0.4499317958920369
fin/checkpoint_2_750.pt,0.3537679983060495,0.6177865612648221,0.4499039462190718
fin/checkpoint_2_800.pt,0.35193837562688385,0.6139596917605217,0.44740948121581825
fin/checkpoint_2_850.pt,0.35080796175797463,0.6135757336231598,0.4463933878754072
fin/checkpoint_2_900.pt,0.3513955562458316,0.6104961454832971,0.4460494507695635
fin/checkpoint_2_950.pt,0.35542414317244725,0.6209605692262081,0.4520848707655454
fin/checkpoint_2_1000.pt,0.35671839002044387,0.6212824819681849,0.45321613316142967
fin/checkpoint_2_1050.pt,0.3555147468526376,0.6160882033026798,0.45085997649767395
fin/checkpoint_2_1100.pt,0.36177149320558055,0.6295216445937932,0.4594866577519311
fin/checkpoint_2_1150.pt,0.35926624175438876,0.6257413997627521,0.4564589177331422
fin/checkpoint_2_1200.pt,0.3585003598218894,0.617748960601861,0.45370218451826855
fin/checkpoint_2_1250.pt,0.3600297746776987,0.6169159156185006,0.4546989669975906
fin/checkpoint_2_1300.pt,0.3614787471930422,0.6238986238986239,0.45774563037201654
fin/checkpoint_2_1350.pt,0.3635788309442874,0.6188918624244226,0.45806145942056803
fin/checkpoint_2_1400.pt,0.3647679105979516,0.6266343106180665,0.46111675625010556
fin/checkpoint2.pt,0.370259018043963,0.63201189296333,0.46695579071636073
fin/checkpoint_3_1450.pt,0.36626811012594174,0.6203152885187388,0.4605828736224534
fin/checkpoint_3_1500.pt,0.36621630976374686,0.6226583407671722,0.46118613653802354
fin/checkpoint_3_1550.pt,0.3692905998640625,0.6279242664551943,0.4650683355420455
fin/checkpoint_3_1600.pt,0.37014878002738166,0.6288404360753221,0.46600006585303755
fin/checkpoint_3_1650.pt,0.36603875299625305,0.6224237019421324,0.46098098022025774
fin/checkpoint_3_1700.pt,0.37443682860350513,0.6425034660328778,0.47313880953872783
fin/checkpoint_3_1750.pt,0.37108349731727924,0.6295213556634625,0.46692755007057435
fin/checkpoint_3_1800.pt,0.3741527443484918,0.6353320118929633,0.4709555332113277
fin/checkpoint_3_1850.pt,0.367529452038633,0.6228061477441745,0.46226673514899147
fin/checkpoint_3_1900.pt,0.37741114775446477,0.6427722183691668,0.475579996174908
fin/checkpoint_3_1950.pt,0.3705864092613144,0.6333531627999207,0.4675820755116187
fin/checkpoint_3_2000.pt,0.3786220595108371,0.647714880539308,0.47789206931132505
fin/checkpoint_3_2050.pt,0.37788088864970987,0.6495489243580846,0.4777983306506098
fin/checkpoint_3_2100.pt,0.37921894471508855,0.6511201427438541,0.47929287827567046
fin/checkpoint_3_2150.pt,0.3779414402295857,0.6474873624739815,0.47728775641698895
fin/checkpoint3.pt,0.3791618282919931,0.6531026962727994,0.47978324642247583
fin/checkpoint_4_2200.pt,0.3819469036995169,0.6582548339117501,0.48340314492300934
fin/checkpoint_4_2250.pt,0.37860504451459576,0.6546121074011692,0.4797431897116214
fin/checkpoint_4_2300.pt,0.3800754176633602,0.6587734073119984,0.48204045075675334
fin/checkpoint_4_2350.pt,0.37985310774459435,0.656788899900892,0.48132972215964087
fin/checkpoint_4_2400.pt,0.3859311114888258,0.6666666666666666,0.4888617722717823
fin/checkpoint_4_2450.pt,0.38730217763988534,0.6693940295546961,0.49069498609060785
fin/checkpoint_4_2500.pt,0.3880108448297133,0.6728138013087448,0.49218134667060465
fin/checkpoint_4_2550.pt,0.3888493362236402,0.6704849747099078,0.49222919464226933
fin/checkpoint_4_2600.pt,0.38453643900551576,0.6683521713265913,0.4881917449604965
fin/checkpoint_4_2650.pt,0.3900962813994549,0.6758203628432636,0.494663465221499
fin/checkpoint_4_2700.pt,0.3877827439980464,0.6708151527171757,0.4914624173036946
fin/checkpoint_4_2750.pt,0.3872486064502231,0.6754385964912281,0.4922665004526895
fin/checkpoint_4_2800.pt,0.3906424653525279,0.6783802537668517,0.49578765734044805
fin/checkpoint_4_2850.pt,0.38569836079498254,0.6758323424494649,0.49111613231400975
fin/checkpoint4.pt,0.38763026182214155,0.6737233515121468,0.49211790653241894
fin/checkpoint_5_2900.pt,0.3907491185591208,0.6813361086331648,0.4966610436152576
fin/checkpoint_5_2950.pt,0.3884573363537793,0.6822596630327057,0.49504915221327744
fin/checkpoint_5_3000.pt,0.3900986043832672,0.6818362086059885,0.49626777705528335
fin/checkpoint_5_3050.pt,0.3913966885198039,0.6828724353256022,0.4975922772706572
fin/checkpoint_5_3100.pt,0.38727425664548926,0.6772866911108909,0.49277723438691934
fin/checkpoint_5_3150.pt,0.38614206884182173,0.6760011895321174,0.4915203214020023
fin/checkpoint_5_3200.pt,0.38772882273428616,0.679191037969664,0.49364896326871927
fin/checkpoint_5_3250.pt,0.3875912784970004,0.6818362086059885,0.49423410377274557
fin/checkpoint_5_3300.pt,0.38914308365305367,0.684966802100882,0.49631810879836047
fin/checkpoint_5_3350.pt,0.3900184694451243,0.6848030949310584,0.49698640929540694
fin/checkpoint_5_3400.pt,0.38679975228905494,0.6784156256196708,0.4926909644393021
fin/checkpoint_5_3450.pt,0.3895578995921265,0.6833779629078647,0.49623708771862607
fin/checkpoint_5_3500.pt,0.3900570896479962,0.6859069721313101,0.49730820354050903
fin/checkpoint_5_3550.pt,0.3909014420994884,0.6856831034824883,0.49793490919872746
fin/checkpoint_5_3600.pt,0.3941441579773865,0.6914376426232761,0.50208304393981
fin/checkpoint5.pt,0.39263441825453044,0.6875682111320568,0.4998375994352961
fin/checkpoint_6_3650.pt,0.38635074016393245,0.6803270564915758,0.4928289735723403
fin/checkpoint_6_3700.pt,0.392748377767719,0.6922581284694687,0.5011642886747188
fin/checkpoint_6_3750.pt,0.39239331432223645,0.6921475312314099,0.5008461689447958
fin/checkpoint_6_3800.pt,0.39374865179349944,0.6929868068643984,0.502169352696967
fin/checkpoint_6_3850.pt,0.39034017542203153,0.6859126984126984,0.49753973165924553
fin/checkpoint_6_3900.pt,0.39134473552058713,0.6891798075969453,0.4992147401890505
fin/checkpoint_6_3950.pt,0.3890515306347427,0.6881693772312575,0.49708160618264347
fin/checkpoint_6_4000.pt,0.3917133288638457,0.6918005155661313,0.5002012374003344
fin/checkpoint_6_4050.pt,0.39367932383849796,0.6951110670368901,0.502669489292102
fin/checkpoint_6_4100.pt,0.39544209481004167,0.6954193932183225,0.5041851869256404
fin/checkpoint_6_4150.pt,0.39164558027699775,0.6888569445821354,0.49937463648941083
fin/checkpoint_6_4200.pt,0.39435941324142765,0.6977193852255825,0.50390541003263
fin/checkpoint_6_4250.pt,0.3937233692710607,0.6990483743061062,0.5037313287664124
fin/checkpoint_6_4300.pt,0.3921380099399245,0.6906107475708904,0.5002355760133347
fin/checkpoint6.pt,0.39339769594903123,0.6929981156401864,0.5018868060455166
fin/checkpoint_7_4350.pt,0.3934276236448534,0.6919262051180322,0.5016297458082873
fin/checkpoint_7_4400.pt,0.39696475601713277,0.7010810274719825,0.5069086611932062
fin/checkpoint_7_4450.pt,0.39462152836806846,0.6939706465688219,0.5031374714914547
fin/checkpoint_7_4500.pt,0.39154475422326573,0.6896568821896073,0.4995026373271191
fin/checkpoint_7_4550.pt,0.39788460841889867,0.7007143565829943,0.5075618424272679
fin/checkpoint_7_4600.pt,0.3950261271257913,0.6957362419434804,0.5039300968743478
fin/checkpoint_7_4650.pt,0.39361854838837756,0.6900982240301617,0.501303418202043
fin/checkpoint_7_4700.pt,0.39441613914085244,0.6946924603174603,0.5031599570969327
fin/checkpoint_7_4750.pt,0.3940612388856722,0.6927388155936911,0.5023583036675798
fin/checkpoint_7_4800.pt,0.39495470471534627,0.6959559916741005,0.5039295958803093
fin/checkpoint_7_4850.pt,0.3955840042181256,0.6980168567178978,0.5049818687155718
fin/checkpoint_7_4900.pt,0.3948775202073274,0.6975302519341401,0.5042787559326812
fin/checkpoint_7_4950.pt,0.3935232819979957,0.6921130952380953,0.501756614761365
fin/checkpoint_7_5000.pt,0.39459582788039144,0.6973410060521877,0.5039995777175112
fin/checkpoint7.pt,0.39621894341500785,0.6995735819119397,0.5059065453718052
fin/checkpoint_8_5050.pt,0.39739057596732735,0.7007237755304382,0.5071621627970457
fin/checkpoint_8_5100.pt,0.39663808358760894,0.700902598690736,0.5065956424488406
fin/checkpoint_8_5150.pt,0.39751574703956805,0.6998511904761905,0.5070352664870201
fin/checkpoint_8_5200.pt,0.39512902926165305,0.7001091053362428,0.5051566822411947
fin/checkpoint_8_5250.pt,0.394288115709258,0.6974206349206349,0.5037692843278048
fin/checkpoint_8_5300.pt,0.39461615417433277,0.6975106615094714,0.5040604640187744
fin/checkpoint_8_5350.pt,0.3928208317794039,0.6975314761574304,0.5025988254657793
fin/checkpoint_8_5400.pt,0.39398991759635643,0.6970839119222376,0.5034380361541019
fin/checkpoint_8_5450.pt,0.3958331364172092,0.7006252481143311,0.5058663298610645
fin/checkpoint_8_5500.pt,0.3941196868220389,0.6974310652648285,0.5036345080549411
fin/checkpoint_8_5550.pt,0.39392957903919174,0.6959928585598095,0.503104008741623
fin/checkpoint_8_5600.pt,0.3954796086010848,0.7004564850649995,0.5055335948083126
fin/checkpoint_8_5650.pt,0.39222103367448163,0.6958742437766537,0.501677602793905
fin/checkpoint_8_5700.pt,0.3974150020010766,0.6999205876513798,0.5069715123887765
fin/checkpoint_8_5750.pt,0.39646238148768576,0.7038781987700853,0.5072270022001305
fin/checkpoint8.pt,0.40062835938928815,0.7091603811036126,0.5120069246679118
fin/checkpoint_9_5800.pt,0.39598956659547335,0.7019154426359666,0.5063301279783008
fin/checkpoint_9_5850.pt,0.39699791762162695,0.7043763024709735,0.5077945719112379
fin/checkpoint_9_5900.pt,0.39583230936943903,0.7015184597062326,0.5060982865209277
fin/checkpoint_9_5950.pt,0.39363637938966617,0.698243350535927,0.5034510246959195
fin/checkpoint_9_6000.pt,0.3965536940708204,0.6992261137017561,0.506088351715207
fin/checkpoint_9_6050.pt,0.3937142400297538,0.697647876141326,0.5033597910233795
fin/checkpoint_9_6100.pt,0.3944585788146774,0.6998710189502927,0.5045465791157453
fin/checkpoint_9_6150.pt,0.39454540369520696,0.6988783005757395,0.5043593259546679
fin/checkpoint_9_6200.pt,0.39426562295720946,0.6977771162052198,0.5038438873133089
fin/checkpoint_9_6250.pt,0.3951490762657661,0.6998214108542514,0.5050981506860509
fin/checkpoint_9_6300.pt,0.3953628016723136,0.7043335977786592,0.5064439688421948
fin/checkpoint_9_6350.pt,0.3961410019575626,0.7016569104077786,0.506386591536682
fin/checkpoint_9_6400.pt,0.3946659879019357,0.699920627046334,0.5047291131716215
fin/checkpoint_9_6450.pt,0.398345543345555,0.7044168734491315,0.5089062121131646
fin/checkpoint9.pt,0.39577112018321764,0.702569954356023,0.5063215867788639
fin/checkpoint_10_6500.pt,0.3979197767069912,0.7068452380952381,0.5091900911789982
fin/checkpoint_10_6550.pt,0.3981066153313297,0.7049107142857143,0.5088399085669983
fin/checkpoint_10_6600.pt,0.39713080756566677,0.7058211027370092,0.5082783789728712
fin/checkpoint_10_6650.pt,0.3925606256650601,0.6969456564855216,0.5022337685368001
fin/checkpoint_10_6700.pt,0.3967556698904177,0.7064192876277409,0.5081258521618364
fin/checkpoint_10_6750.pt,0.3932085109869623,0.6974885844748858,0.5029048832584285
fin/checkpoint_10_6800.pt,0.3960598656559474,0.7051409289400555,0.5072245188253192
fin/checkpoint_10_6850.pt,0.39334184994703847,0.6981057225032232,0.5031743223938413
fin/checkpoint_10_6900.pt,0.39560687977719716,0.698441842000794,0.5051116871115762
fin/checkpoint_10_6950.pt,0.3954928400522444,0.7030366180410836,0.5062148250669325
fin/checkpoint_10_7000.pt,0.39497262594037985,0.7031265508684863,0.5058117627808166
fin/checkpoint_10_7050.pt,0.396584254837416,0.7024600734054162,0.5069579044367184
fin/checkpoint_10_7100.pt,0.39648270724767604,0.7045341799781725,0.5074138685194715
fin/checkpoint_10_7150.pt,0.3947546919022385,0.7023018156563151,0.5054196113904265
fin/checkpoint_10_7200.pt,0.39482351681539457,0.7008233310187482,0.5050925538024971
fin/checkpoint10.pt,0.3968028043062881,0.7067050188454672,0.5082384146480957
fin/checkpoint_11_7250.pt,0.39483366812400233,0.6991563275434243,0.504667242825493
fin/checkpoint_11_7300.pt,0.39490594993871947,0.699225729600953,0.5047443669409744
fin/checkpoint_11_7350.pt,0.39589776429297274,0.7033545057562525,0.5066288856912158
fin/checkpoint_11_7400.pt,0.39695405013858587,0.703422619047619,0.5075106832218622
fin/checkpoint_11_7450.pt,0.3971888484310502,0.7041059208568878,0.5078804107268259
fin/checkpoint_11_7500.pt,0.3956378711558768,0.7073460890254784,0.5074469093575241
fin/checkpoint_11_7550.pt,0.3975468975469092,0.7048431917427551,0.5083649188373027
fin/checkpoint_11_7600.pt,0.3924262251196893,0.6985119047619047,0.5025296714427416
fin/checkpoint_11_7650.pt,0.3943361263040017,0.7008530053560802,0.5047012452026651
fin/checkpoint_11_7700.pt,0.3964556375407095,0.7047685139288192,0.5074524566781622
fin/checkpoint_11_7750.pt,0.3943942362931079,0.7039167079821517,0.505541156455966
fin/checkpoint_11_7800.pt,0.3947556399262192,0.7043335977786592,0.5059455603318511
fin/checkpoint_11_7850.pt,0.3986803459023046,0.7111816648477032,0.5109358630074315
fin/checkpoint_11_7900.pt,0.3965981895850084,0.7091558377145124,0.50870250422345
fin/checkpoint11.pt,0.39664773496884265,0.7051002182972812,0.5076958004497388
fin/checkpoint_12_7950.pt,0.39579275339046444,0.7051676254711366,0.5070123166023979
fin/checkpoint_12_8000.pt,0.3953317994195185,0.7061216390514932,0.5068799613768392
fin/checkpoint_12_8050.pt,0.3932409743681941,0.7009327247469737,0.5038239684776795
fin/checkpoint_12_8100.pt,0.3982580952066036,0.7068075816215144,0.5094572151442427
fin/checkpoint_12_8150.pt,0.3950216307047463,0.7033931937692232,0.5059209330362106
fin/checkpoint_12_8200.pt,0.39585102380402615,0.7055439849251215,0.5071573895974756
fin/checkpoint_12_8250.pt,0.399146140672333,0.7149940499801666,0.5123001899538816
fin/checkpoint_12_8300.pt,0.3948169037148424,0.7030552524551136,0.5056656120748075
fin/checkpoint_12_8350.pt,0.39465050882718394,0.7052146326955487,0.5060862520660613
fin/checkpoint_12_8400.pt,0.3943135078105436,0.7018849206349206,0.5049500126128843
fin/checkpoint_12_8450.pt,0.39501881771228214,0.7029761904761904,0.5058107214894061
fin/checkpoint_12_8500.pt,0.3960746439473128,0.7051472775959536,0.5072382803873581
fin/checkpoint_12_8550.pt,0.39681547717458066,0.7069735145322885,0.508318228622853
fin/checkpoint_12_8600.pt,0.397869620356746,0.7101011102299762,0.5099911962340249
fin/checkpoint12.pt,0.39707031772800283,0.7087094534272393,0.508975648116981
fin/checkpoint_13_8650.pt,0.39847560159534406,0.7113381608967364,0.5108080493876113
fin/checkpoint_13_8700.pt,0.3968279956025661,0.7056955745187538,0.5079977751606041
fin/checkpoint_13_8750.pt,0.39797074879433697,0.7087219686445724,0.5097180239898824
fin/checkpoint_13_8800.pt,0.3979022074815428,0.7091973410060521,0.5097846673532639
fin/checkpoint_13_8850.pt,0.39598929933819027,0.7062909307402262,0.5074637885374097
fin/checkpoint_13_8900.pt,0.39825730596412223,0.7094822455861932,0.5101496779835777
fin/checkpoint_13_8950.pt,0.39729497026272403,0.707196029776675,0.5087690630526063
fin/checkpoint_13_9000.pt,0.3957315882777221,0.7066554255108114,0.5073460960709508
fin/checkpoint_13_9050.pt,0.39862719437083177,0.7113800972318682,0.5109434044912348
fin/checkpoint_13_9100.pt,0.39554416931638087,0.704087707113801,0.5065291270753484
fin/checkpoint_13_9150.pt,0.3976945696582649,0.7092677118475889,0.50963239154276
fin/checkpoint_13_9200.pt,0.3936214166788863,0.7020442592041282,0.5044233144503713
fin/checkpoint_13_9250.pt,0.3969956223230153,0.7090773809523809,0.5090091075232123
fin/checkpoint_13_9300.pt,0.398519237704685,0.7112312729437444,0.5108163357539879
fin/checkpoint_13_9350.pt,0.39585020067612287,0.7075686935819859,0.5076788349448963
fin/checkpoint13.pt,0.3958295926692553,0.7056459615002977,0.50716614173059
fin/checkpoint_14_9400.pt,0.39732276706980285,0.7086805555555555,0.5091755396060011
fin/checkpoint_14_9450.pt,0.39662997606451195,0.7079861111111111,0.5084273487669406
fin/checkpoint_14_9500.pt,0.39366276496375935,0.7003572491813039,0.504021073856821
fin/checkpoint_14_9550.pt,0.3951539189608562,0.7060720309554519,0.5067209506312524
fin/checkpoint_14_9600.pt,0.3969226347946704,0.7074900793650793,0.5085396478911927
fin/checkpoint_14_9650.pt,0.39673839443185904,0.7070436507936508,0.5082731034129165
fin/checkpoint_14_9700.pt,0.4005651051876746,0.7127269120126971,0.5128816627974958
fin/checkpoint_14_9750.pt,0.39348017447721034,0.7015873015873015,0.5041893762230658
fin/checkpoint_14_9800.pt,0.39922280486269823,0.7151785714285714,0.5124107010951627
fin/checkpoint_14_9850.pt,0.39777009550887593,0.7122384211048299,0.5104594073786786
fin/checkpoint_14_9900.pt,0.39539386583422304,0.7059902806704353,0.5068971206850234
fin/checkpoint_14_9950.pt,0.39646037413842616,0.7088375322356675,0.5085072388409949
fin/checkpoint_14_10000.pt,0.3940776535459722,0.7030552524551136,0.5050588906507706
